x,rho,p,u
0.005,1.70739e+45,-8.99252e+130,1.92335e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,9.14369e+44,-2.87624e+131,8.04318e+42
0.045,1.81272e+45,-1.08582e+132,2.64827e+44
0.055,-2.18218e+44,-1.66617e+132,1.97074e+44
0.065,1.20028e+46,-2.41764e+134,2.22633e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-1.19181e+46,2.07697e+134,2.53576e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,3.72809e+46,-4.71508e+135,9.40552e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-3.67535e+46,4.77563e+135,9.34758e+44
0.135,2.72355e+49,-1.99541e+140,9.72982e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-2.71896e+49,1.99906e+140,9.74033e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,2.43545e+48,-2.75846e+137,4.42829e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-2.39297e+48,2.84121e+137,4.44251e+45
0.215,2.7638e+48,-4.58135e+142,-1.64482e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.46445e+48,1.17715e+137,1.80008e+44
0.245,-2.81025e+43,3.27753e+128,-3.60287e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.13957e+42,4.6428e+128,2.33029e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.70497e+45,-4.88655e+129,1.2371e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.70692e+45,4.90121e+129,1.23571e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.36031e+44,-2.49704e+127,6.60094e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.69698e+44,-6.50234e+129,2.28666e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.44361e+44,4.15463e+127,1.11019e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.47626e+45,-8.11016e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.36257e+45,8.46885e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
