x,rho,p,u
0.005,2.1816e+45,-6.62731e+130,1.93154e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,-1.81336e+46,1.06984e+133,2.66345e+44
0.045,2.90304e+45,1.86795e+130,2.53921e+44
0.055,1.88302e+46,-1.16601e+132,2.546e+44
0.065,2.42245e+46,-5.64646e+134,2.27338e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-2.52254e+46,4.58617e+134,2.42742e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,1.13527e+47,-1.39502e+136,9.26095e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-1.13e+47,1.40118e+136,9.24143e+44
0.135,8.82004e+49,-6.46889e+140,9.72889e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-8.81545e+49,6.47254e+140,9.73213e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,7.57901e+48,-8.8497e+137,4.4378e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-7.53652e+48,8.93309e+137,4.44237e+45
0.215,2.80209e+48,-4.58114e+142,-1.6221e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.50274e+48,1.19544e+137,1.80008e+44
0.245,-2.77201e+43,3.33896e+128,-3.72075e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.52191e+42,4.39336e+128,2.23697e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.72611e+45,-4.94416e+129,1.23702e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.72806e+45,4.95883e+129,1.23565e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.41018e+44,-2.51548e+127,6.60069e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.75266e+44,-6.47691e+129,2.26211e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.54916e+44,4.20969e+127,1.11017e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.51308e+45,-8.24019e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.39939e+45,8.59888e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
