x,rho,p,u
0.005,1.61287e+31,-2.12344e+92,1.1976e+31
0.015,4.16967e+31,-4.23783e+92,1.88862e+31
0.025,1.1386e+32,-5.30516e+92,2.12185e+31
0.035,2.19653e+33,-1.11414e+94,2.32355e+31
0.045,-1.61553e+32,-3.60399e+92,2.30457e+31
0.055,-2.27119e+33,9.13008e+93,2.31029e+31
0.065,-3.17836e+32,-1.92656e+93,3.42642e+31
0.075,-1.50863e+32,-2.70139e+92,3.54168e+31
0.085,3.49519e+32,1.81745e+93,3.43067e+31
0.095,1.706e+32,2.1314e+93,3.45048e+31
0.105,-2.88312e+30,2.02524e+91,1.45674e+31
0.115,3.5484e+30,-8.35073e+91,-2.15654e+30
0.125,6.53403e+29,-6.26586e+92,-5.8733e+31
0.135,2.72446e+30,2.57092e+91,7.89127e+30
0.145,1.65445e+30,4.48162e+90,1.58713e+31
0.155,-7.42961e+30,-2.34871e+91,1.78725e+31
0.165,-6.24261e+30,-2.2573e+91,1.68983e+31
0.175,5.99423e+30,5.12398e+91,1.70307e+31
0.185,1.00838e+31,1.18094e+92,1.4318e+31
0.195,6.15426e+30,7.25926e+91,9.76122e+30
0.205,3.88807e+30,1.37933e+91,5.13318e+30
0.215,3.73153e+30,5.46711e+90,4.80541e+30
0.225,3.00464e+30,2.81003e+90,4.98992e+30
0.235,1.75025e+30,8.94073e+89,4.9691e+30
0.245,7.58935e+29,1.82253e+89,4.8295e+30
0.255,2.46452e+29,2.59822e+88,4.66355e+30
0.265,5.95772e+28,3.18412e+87,4.51542e+30
0.275,1.06149e+28,3.81908e+86,4.39843e+30
0.285,1.42338e+27,1.89946e+86,4.18093e+30
0.295,2.64306e+26,2.2663e+86,1.88126e+30
0.305,1.50845e+26,4.86418e+84,6.66881e+28
0.315,-2.16615e+25,9.35262e+80,-8.30803e+26
0.325,6.0985e+25,-3.81064e+77,2.13122e+26
0.335,1.10521e+26,-1.8056e+77,1.27435e+26
0.345,-4.27977e+25,3.10863e+77,-1.4338e+26
0.355,2.15048e+26,-6.03428e+77,1.72903e+26
0.365,2.77422e+26,-6.47319e+77,1.79655e+26
0.375,3.98978e+26,-1.60314e+78,2.0266e+26
0.385,8.12484e+25,-3.01798e+78,5.08307e+26
0.395,2.34177e+26,-5.53755e+78,4.14566e+26
0.405,2.31922e+26,-4.4061e+78,3.9478e+26
0.415,3.36473e+26,-1.17607e+79,4.81304e+26
0.425,2.28525e+26,-1.00627e+79,5.86224e+26
0.435,4.10506e+27,-4.99504e+79,2.93819e+26
0.445,-1.25135e+27,-6.77805e+78,2.28631e+26
0.455,-4.81831e+27,5.92817e+79,2.1501e+26
0.465,1.51617e+27,-3.80404e+79,6.52007e+26
0.475,1.89105e+27,-6.23153e+79,7.69909e+26
0.485,2.01947e+27,-8.94119e+79,9.00178e+26
0.495,2.74537e+27,-2.23484e+80,1.03225e+27
0.505,8.39072e+26,-3.01719e+80,1.8479e+27
0.515,1.774e+27,-7.54029e+80,1.88791e+27
0.525,1.66298e+27,-6.01339e+80,1.85948e+27
0.535,2.06675e+28,-3.36101e+81,1.20159e+27
0.545,-5.69574e+27,-3.98239e+80,9.96603e+26
0.555,-2.41281e+28,3.07852e+81,9.46196e+26
0.565,6.33547e+27,-2.63894e+81,2.47577e+27
0.575,7.3809e+27,-4.92581e+81,3.02037e+27
0.585,1.48351e+27,-1.58168e+82,8.70311e+27
0.595,5.38309e+27,-1.83112e+82,5.83726e+27
0.605,1.40665e+28,-1.15777e+82,4.02687e+27
0.615,1.42914e+28,-4.04379e+82,5.18553e+27
0.625,1.17904e+27,-1.31612e+83,2.56465e+28
0.635,7.2756e+28,-2.42729e+83,4.89992e+27
0.645,-2.26113e+28,-3.21593e+82,3.80963e+27
0.655,-8.8497e+28,2.60045e+83,3.61546e+27
0.665,2.60802e+28,-1.72908e+83,1.02375e+28
0.675,3.11633e+28,-3.14681e+83,1.23217e+28
0.685,3.03537e+28,-4.17156e+83,1.46009e+28
0.695,3.89429e+28,-1.09424e+84,1.73197e+28
0.705,8.47871e+27,-1.83578e+84,4.02208e+28
0.715,2.11326e+28,-3.89466e+84,3.70766e+28
0.725,1.98692e+28,-3.15094e+84,3.62341e+28
0.735,2.98353e+28,-8.09909e+84,4.35418e+28
0.745,2.01576e+28,-7.19332e+84,5.28128e+28
0.755,3.46643e+29,-3.5913e+85,2.63265e+28
0.765,-1.08736e+29,-5.36476e+84,1.99476e+28
0.775,-4.03697e+29,4.26308e+85,1.88327e+28
0.785,1.33268e+29,-2.62013e+85,5.65303e+28
0.795,1.63353e+29,-4.46065e+85,6.73591e+28
0.805,1.63385e+29,-6.49692e+85,7.89739e+28
0.815,2.14334e+29,-1.51153e+86,9.24096e+28
0.825,1.16293e+28,-1.23639e+87,7.69044e+29
0.835,1.2208e+29,-5.35069e+86,1.9202e+29
0.845,1.60677e+29,-3.38761e+86,1.42925e+29
0.855,1.78605e+29,-1.04283e+87,2.11317e+29
0.865,1.22912e+29,-1.06908e+87,2.61492e+29
0.875,-8.10134e+28,5.29182e+86,-1.34286e+29
0.885,2.74082e+29,-2.7889e+87,3.09203e+29
0.895,2.98498e+29,-4.44633e+87,3.741e+29
0.905,5.36701e+29,-6.89855e+87,3.58735e+29
0.915,7.8161e+28,-2.15354e+88,1.30301e+30
0.925,3.75029e+29,-2.35739e+88,7.00158e+29
0.935,1.29629e+30,-1.35593e+88,4.07488e+29
0.945,1.3215e+30,-4.28033e+88,5.08503e+29
0.955,-2.30545e+29,4.69451e+88,-9.46816e+29
0.965,1.69429e+31,-1.07503e+90,5.5913e+29
0.975,-4.31978e+30,-7.48977e+88,4.85407e+29
0.985,-1.69579e+30,5.1912e+90,2.43992e+30
