x,rho,p,u
0.005,2.30071e+45,-6.00189e+130,1.93326e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,-2.71508e+46,1.02131e+133,2.62227e+44
0.045,2.90304e+45,1.86795e+130,2.53921e+44
0.055,2.78474e+46,-8.65342e+131,2.54388e+44
0.065,2.74145e+46,-6.24904e+134,2.28002e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-2.84153e+46,5.18841e+134,2.41653e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,1.31804e+47,-1.61644e+136,9.25115e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-1.31277e+47,1.62261e+136,9.23431e+44
0.135,1.02815e+50,-7.54126e+140,9.72883e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-1.02769e+50,7.54491e+140,9.73161e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,8.812e+48,-1.031e+138,4.43843e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-8.76952e+48,1.03934e+138,4.44236e+45
0.215,2.81127e+48,-4.58109e+142,-1.61674e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.51192e+48,1.19982e+137,1.80008e+44
0.245,-2.76285e+43,3.35392e+128,-3.74949e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.61356e+42,4.33721e+128,2.21599e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.73117e+45,-4.95797e+129,1.237e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.73313e+45,4.97264e+129,1.23563e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.42214e+44,-2.5199e+127,6.60063e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.76601e+44,-6.47142e+129,2.25646e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.57447e+44,4.2229e+127,1.11017e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.52191e+45,-8.27136e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.40822e+45,8.63005e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,2.31403e+45,-7.24942e+128,1.27453e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-2.37793e+45,6.86351e+128,1.27378e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,8.31721e+41,-2.88333e+127,-1.71595e+42
0.565,8.87761e+42,-4.67146e+127,7.37983e+42
0.575,-2.24627e+43,-7.85278e+128,3.25146e+42
0.585,3.78294e+43,3.754e+128,1.71377e+42
0.595,-3.17757e+44,2.03187e+128,9.81784e+42
0.605,1.15368e+44,3.20926e+127,9.09362e+42
0.615,-3.76017e+45,4.90638e+128,9.31456e+42
0.625,-9.37549e+43,4.22546e+127,1.01112e+43
0.635,2.45809e+42,-8.5772e+126,8.57274e+42
0.645,-3.87206e+43,-3.17685e+125,7.55469e+42
0.655,-2.81857e+43,-1.8292e+125,7.407e+42
0.665,-5.72304e+42,1.68735e+126,7.49355e+42
0.675,2.33363e+43,-1.943e+127,7.27918e+42
0.685,-9.90953e+42,-3.65706e+127,5.56439e+42
0.695,1.49743e+42,5.11944e+126,-2.27845e+42
0.705,-1.39627e+44,3.15478e+127,7.40985e+42
0.715,1.36959e+43,5.73981e+125,7.25105e+42
0.725,3.45774e+44,-3.11291e+127,6.84078e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
0.745,-1.94657e+44,6.54538e+127,6.51285e+42
0.755,-1.40852e+42,3.1096e+127,2.01003e+43
0.765,-7.17913e+42,-3.59698e+126,8.42348e+42
0.775,1.38877e+43,-1.36951e+127,4.53462e+42
0.785,6.08502e+42,-1.10644e+127,4.88968e+42
0.795,-6.5141e+41,5.48398e+126,1.99976e+43
0.805,-4.7383e+41,1.73417e+126,1.71735e+43
0.815,-1.05525e+41,2.47086e+127,4.81947e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-8.70553e+42,3.14526e+126,1.75015e+43
0.845,1.0724e+45,-1.58121e+128,1.71513e+43
0.855,-6.54451e+43,-1.07318e+127,1.714e+43
0.865,-1.00854e+45,1.60952e+128,1.71496e+43
0.875,8.59955e+45,-9.26328e+128,1.71518e+43
0.885,-5.08273e+44,-4.8922e+126,1.71509e+43
0.895,-8.9425e+45,9.18748e+128,1.71514e+43
0.905,4.20364e+44,-5.39927e+128,1.71433e+43
0.915,3.66367e+44,-8.07397e+128,1.6857e+43
0.925,-2.47016e+43,-2.00708e+129,8.99074e+42
0.935,-1.38818e+44,6.15429e+128,1.46827e+43
0.945,1.75252e+43,6.53405e+128,5.67667e+42
0.955,-1.90516e+44,1.15393e+129,2.74016e+43
0.965,1.58316e+43,2.09991e+128,2.13739e+43
0.975,-1.82178e+44,4.62343e+128,1.77793e+43
0.985,3.5033e+43,1.57137e+128,1.99119e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
