x,rho,p,u
0.005,2.0591e+45,-7.25764e+130,1.92966e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,-8.68953e+45,1.16188e+133,2.79822e+44
0.045,2.90304e+45,1.86795e+130,2.53921e+44
0.055,9.38616e+45,-1.48199e+132,2.55258e+44
0.065,2.08835e+46,-5.01541e+134,2.26426e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-2.18844e+46,3.9556e+134,2.44224e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,9.43844e+46,-1.16312e+136,9.27529e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-9.3857e+46,1.16928e+136,9.25187e+44
0.135,7.28944e+49,-5.34576e+140,9.72898e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-7.28484e+49,5.34941e+140,9.7329e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,6.28765e+48,-7.32031e+137,4.43687e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-6.24516e+48,7.40364e+137,4.44238e+45
0.215,2.79248e+48,-4.58119e+142,-1.62774e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.49313e+48,1.19084e+137,1.80008e+44
0.245,-2.78161e+43,3.32339e+128,-3.69085e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.42592e+42,4.45361e+128,2.25949e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.7208e+45,-4.92969e+129,1.23704e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.72276e+45,4.94436e+129,1.23566e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.39766e+44,-2.51085e+127,6.60075e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.73868e+44,-6.48291e+129,2.26812e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.52266e+44,4.19587e+127,1.11018e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.50384e+45,-8.20755e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.39015e+45,8.56623e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,2.29568e+45,-7.19453e+128,1.27455e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-2.35958e+45,6.8086e+128,1.2738e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,8.31721e+41,-2.88333e+127,-1.71595e+42
0.565,6.16954e+42,-3.14611e+126,6.99284e+42
0.575,-1.74919e+43,-5.79248e+128,3.43543e+42
0.585,4.25517e+43,3.3653e+128,2.06423e+42
0.595,-2.86575e+44,2.69369e+128,9.8345e+42
0.605,1.15368e+44,3.20926e+127,9.09362e+42
0.615,-3.78645e+45,4.48978e+128,9.31324e+42
0.625,-9.45414e+43,4.04415e+127,1.01015e+43
0.635,-5.29911e+42,-7.72297e+126,7.07341e+42
0.645,-4.29337e+43,-6.61371e+123,7.54011e+42
0.655,-2.04292e+43,-2.04711e+125,7.35385e+42
0.665,-1.21745e+42,1.7098e+126,7.89236e+42
0.675,2.19654e+43,-1.91458e+127,7.34425e+42
0.685,-9.65596e+42,-3.38185e+127,5.6239e+42
0.695,3.09382e+42,1.72658e+127,1.80349e+42
0.705,-1.2939e+44,5.64687e+127,7.41325e+42
0.715,1.36959e+43,5.73981e+125,7.25105e+42
0.725,3.38481e+44,-3.0532e+127,6.84173e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
0.745,-1.8985e+44,6.45548e+127,6.51169e+42
0.755,-2.92304e+42,1.12013e+127,1.4081e+43
0.765,-7.17913e+42,-3.59698e+126,8.42348e+42
0.775,1.54022e+43,-9.24185e+126,4.92287e+42
0.785,6.08502e+42,-1.10644e+127,4.88968e+42
0.795,-6.5141e+41,5.48398e+126,1.99976e+43
0.805,-4.7383e+41,1.73417e+126,1.71735e+43
0.815,-1.05525e+41,2.47086e+127,4.81947e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-8.70553e+42,3.14526e+126,1.75015e+43
0.845,1.04431e+45,-1.53849e+128,1.71513e+43
0.855,-6.54451e+43,-1.07318e+127,1.714e+43
0.865,-9.8045e+44,1.5668e+128,1.71496e+43
0.875,8.38123e+45,-9.02678e+128,1.71518e+43
0.885,-5.08273e+44,-4.8922e+126,1.71509e+43
0.895,-8.72418e+45,8.95099e+128,1.71514e+43
0.905,4.20364e+44,-5.39927e+128,1.71433e+43
0.915,3.58293e+44,-8.23822e+128,1.68567e+43
0.925,-2.47016e+43,-2.00708e+129,8.99074e+42
0.935,-1.31877e+44,5.70375e+128,1.46732e+43
0.945,1.75252e+43,6.53405e+128,5.67667e+42
0.955,-1.77709e+44,1.21086e+129,2.74132e+43
0.965,1.58316e+43,2.09991e+128,2.13739e+43
0.975,-1.73182e+44,4.53582e+128,1.77477e+43
0.985,3.5033e+43,1.57137e+128,1.99119e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
