x,rho,p,u
0.005,2.31708e+45,-5.91497e+130,1.93349e+43
0.015,8.68682e+44,-3.65657e+131,1.44964e+43
0.025,1.66428e+45,-4.56426e+131,2.27783e+43
0.035,-2.8378e+46,1.01561e+133,2.61869e+44
0.045,2.90304e+45,1.86795e+130,2.53921e+44
0.055,2.90746e+46,-8.24447e+131,2.54369e+44
0.065,2.78486e+46,-6.33106e+134,2.2808e+44
0.075,-1.37013e+45,-1.11382e+133,1.90328e+44
0.085,-2.88495e+46,5.27038e+134,2.41524e+44
0.095,3.02571e+45,-1.07699e+134,2.79282e+44
0.105,1.34292e+47,-1.64657e+136,9.25002e+44
0.115,-2.18827e+45,-3.52955e+134,6.82802e+44
0.125,-1.33765e+47,1.65275e+136,9.23349e+44
0.135,1.04804e+50,-7.6872e+140,9.72882e+45
0.145,-1.24933e+47,-1.98028e+137,9.56272e+45
0.155,-1.04758e+50,7.69085e+140,9.73155e+45
0.165,-1.90445e+46,5.77416e+135,3.83242e+45
0.175,-3.02334e+46,6.58569e+135,3.74072e+45
0.185,8.9798e+48,-1.05087e+138,4.4385e+45
0.195,-2.27839e+46,-1.84717e+135,4.42398e+45
0.205,-8.93732e+48,1.05922e+138,4.44236e+45
0.215,2.81252e+48,-4.58108e+142,-1.61601e+46
0.225,-4.86309e+45,-1.92916e+133,1.54299e+44
0.235,-2.51317e+48,1.20042e+137,1.80008e+44
0.245,-2.7616e+43,3.35596e+128,-3.75342e+42
0.255,-2.24613e+42,-1.20466e+127,3.33571e+42
0.265,-7.62603e+42,4.32967e+128,2.21317e+43
0.275,2.60037e+43,-3.50821e+127,1.59135e+42
0.285,1.85627e+43,-1.42817e+128,9.25623e+42
0.295,1.73186e+45,-4.95984e+129,1.237e+43
0.305,-3.47866e+43,-1.64891e+128,1.19096e+43
0.315,-1.73382e+45,4.97452e+129,1.23563e+43
0.325,4.5199e+42,-1.61756e+129,5.45311e+43
0.335,-8.51838e+42,1.44e+127,7.1181e+41
0.345,9.45375e+42,-1.00563e+127,6.80204e+42
0.355,4.42376e+44,-2.5205e+127,6.60062e+42
0.365,-1.48979e+43,-1.78786e+126,6.55996e+42
0.375,1.76783e+44,-6.47069e+129,2.25569e+43
0.385,-1.87426e+43,-1.21661e+127,1.1036e+43
0.395,-5.57791e+44,4.22469e+127,1.11017e+43
0.405,-8.33401e+43,6.07532e+126,1.1237e+43
0.415,-4.77462e+43,5.99701e+126,1.12599e+43
0.425,2.52311e+45,-8.2756e+128,1.10662e+43
0.435,-6.53026e+43,-1.30705e+127,1.10493e+43
0.445,-2.40942e+45,8.63429e+128,1.10683e+43
0.455,7.06049e+43,-1.24399e+127,1.1015e+43
0.465,2.92817e+43,-8.23392e+127,1.13618e+43
0.475,1.71808e+43,-1.00618e+128,1.13965e+43
0.485,3.2899e+42,-2.19345e+128,2.22086e+43
0.495,6.3618e+42,-3.27509e+128,2.52004e+43
0.505,2.31525e+45,-7.25307e+128,1.27453e+43
0.515,-5.77069e+43,-1.41774e+127,1.26982e+43
0.525,-2.37915e+45,6.86716e+128,1.27378e+43
0.535,-1.08619e+43,2.15364e+127,1.66718e+43
0.545,3.10046e+42,-3.82612e+127,3.9817e+42
0.555,8.31721e+41,-2.88333e+127,-1.71595e+42
0.565,9.08203e+42,-5.09256e+127,7.40069e+42
0.575,-2.27839e+43,-8.00371e+128,3.23901e+42
0.585,3.74926e+43,3.78919e+128,1.68469e+42
0.595,-3.19967e+44,1.97724e+128,9.81667e+42
0.605,1.15368e+44,3.20926e+127,9.09362e+42
0.615,-3.75843e+45,4.93407e+128,9.31465e+42
0.625,-9.37549e+43,4.22546e+127,1.01112e+43
0.635,2.94302e+42,-8.49929e+126,8.40528e+42
0.645,-3.83701e+43,-3.18273e+125,7.55602e+42
0.655,-2.86706e+43,-1.79284e+125,7.40953e+42
0.665,-6.07352e+42,1.68897e+126,7.48867e+42
0.675,2.34281e+43,-1.94563e+127,7.27506e+42
0.685,-9.92654e+42,-3.68049e+127,5.56003e+42
0.695,1.38242e+42,3.41394e+126,-2.90221e+42
0.705,-1.41526e+44,2.89284e+127,7.40931e+42
0.715,1.36959e+43,5.73981e+125,7.25105e+42
0.725,3.46259e+44,-3.11688e+127,6.84072e+42
0.735,-2.93689e+43,-4.59406e+126,6.53475e+42
0.745,-1.94976e+44,6.55136e+127,6.51292e+42
0.755,-1.30785e+42,3.40357e+127,2.09946e+43
0.765,-7.17913e+42,-3.59698e+126,8.42348e+42
0.775,1.3787e+43,-1.40243e+127,4.50579e+42
0.785,6.08502e+42,-1.10644e+127,4.88968e+42
0.795,-6.5141e+41,5.48398e+126,1.99976e+43
0.805,-4.7383e+41,1.73417e+126,1.71735e+43
0.815,-1.05525e+41,2.47086e+127,4.81947e+43
0.825,-6.73406e+41,1.23621e+126,1.65785e+43
0.835,-8.70553e+42,3.14526e+126,1.75015e+43
0.845,1.07427e+45,-1.58405e+128,1.71513e+43
0.855,-6.54451e+43,-1.07318e+127,1.714e+43
0.865,-1.01041e+45,1.61236e+128,1.71496e+43
0.875,8.61407e+45,-9.279e+128,1.71518e+43
0.885,-5.08273e+44,-4.8922e+126,1.71509e+43
0.895,-8.95701e+45,9.2032e+128,1.71514e+43
0.905,4.20364e+44,-5.39927e+128,1.71433e+43
0.915,3.66905e+44,-8.06279e+128,1.6857e+43
0.925,-2.47016e+43,-2.00708e+129,8.99074e+42
0.935,-1.39276e+44,6.18513e+128,1.46833e+43
0.945,1.75252e+43,6.53405e+128,5.67667e+42
0.955,-1.91385e+44,1.14996e+129,2.74009e+43
0.965,1.58316e+43,2.09991e+128,2.13739e+43
0.975,-1.82776e+44,4.62928e+128,1.77812e+43
0.985,3.5033e+43,1.57137e+128,1.99119e+43
0.995,0.125,0.1,0
1.5,0.125,0.1,0
